term_normalized,predicted_category,best_score
wait staff,service,2.376533
wait time,anecdotes/miscellaneous,2.397861
waiter,service,2.071678
waiter traffic,ambience,3.308594
waiters,service,2.15414
waiting,anecdotes/miscellaneous,1.812899
waiting area,ambience,3.308594
waitress,service,2.087026
waitresses,service,2.376533
waitstaff,service,2.376533
walnuts,food,0.823167
wasabe potatoes,food,0.823167
wasabi,food,0.823167
water,service,1.376533
water and wine glasses,service,2.376533
white bean brushetta,food,0.823167
white chocolate bread pudding with gelato and hot chocolate,food,0.823167
white tuna sashimi,food,0.823167
white wine,food,0.823167
whitefish,food,0.823167
whitefish salad,food,0.823167
whole grilled fish,food,0.823167
wild mushroom third generation-fornini pizza,food,0.823167
wine,price,0.969456
wine by the glass,food,0.823167
wine choices,food,0.823167
wine flight,food,0.823167
wine list,food,0.823167
wine list selection,food,0.823167
wine menu,food,0.823167
wine selection,food,0.823167
wine-by-the-glass,food,0.823167
wines,food,0.823167
wines by the glass,food,0.823167
wintermelon,food,0.823167
workers,service,1.376533
yellowfun tuna,food,0.823167
yellowtail,food,0.823167
zen feel,ambience,3.308594
zucchini,food,0.823167
